,title,publishers,sheet_music,date,month,day,year,chart
88,DONDE ESTARAS,(Destin Music -- ASCAP/Uni-versal Music - MGB Songs -- ASCAP),HL,2019-01-05,01,05,2019,LT  40
89,DON’T LEAVE ME ALONE,(EMI Blackwood Music Inc. -- BMI/EMI Music Publishing Scan-dinavia AB -- STIM/JackBack Publishing Ltd. -- SACEM/Write Here Music -- SACEM/Shapiro -- Bernstein & Co.  Inc. -- ASCAP/Lurpi Songs AB -- BMI/Songs Of Kobalt Music Publishing America  Inc. -- BMI/Sony/ATV Music Publishing Allegro Australia Pty Ltd. -- APRA),HL,2019-01-05,01,05,2019,DES  23
90,DON’T MATTER TO ME,(Sandra Gale -- GMR/EMI Pop Music Publishing -- GMR/Mavor And Moses Publishing  Inc. -- ASCAP/Roncesvalles Music Publishing -- ASCAP/Kobalt Songs Music Publishing LLC -- ASCAP/Nyankingmmusic Inc. -- SOCAN/EMI April Music Canada -- SOCAN/IMHOTEP -- PRS/Sony/ATV Music Publishing UK Ltd -- PRS),HL,2019-01-05,01,05,2019,RBS  13
91,DON’T STOP ME NOW,(Beechwood Music Cor-poration -- BMI/EMI Blackwood Music Inc. -- BMI/Queen Music Ltd. -- PRS),HL,2019-01-05,01,05,2019,RO  10
92,DOWN TO THE HONKYTONK,(Round Hill Works -- BMI/Big Loud Proud Crowd -- BMI/Round Hill Compositions -- BMI/Shirt At Work -- BMI/Sony/ATV Story Music Publishing -- GMR/We Are Creative Nation -- GMR/Smack Hits -- GMR/Smack Songs LLC -- GMR/Kobalt Music Group Ltd. -- GMR),HL,2019-01-05,01,05,2019,CS  18
93,DREAMER,(Universal Polygram International Publishing  Inc. -- BUMA/Michael Young Pub-lishing Designee -- BMI/Sony/ATV Songs LLC -- BMI/Sparko Phone Music -- BMI/Songs From The Dong -- BMI/Warner-Tamerlane Publishing Corp. -- BMI/Aleksander Parkhomenko Publishing Designee -- ASCAP/WB Music Corp. -- ASCAP/Yury Parkhomenko Publishing Designee -- ASCAP),AMP/HL,2019-01-05,01,05,2019,DES  44
94,DRIP TOO HARD,(Quality Control QC Pro -- ASCAP/Universal Music Corp. -- ASCAP/Wolf Pack Global Music Publishingl -- ASCAP/Gunna Music LLC -- BMI/Turbo Publishing LLC -- BMI),HL,2019-01-05,01,05,2019,H100  12 ; RBH   3 ; RS   3
95,DRIVE,(JackBack Publishing Ltd. -- SACEM/Brown Boy Publishing -- BMI/EMI April Music  Inc. -- ASCAP/EMI Music Publishing Ltd. -- PRS/Mikkel Songs -- Inc -- . -- ASCAP/Tyler Childs -- ASCAP/Sony/ATV Tunes LLC -- ASCAP/Pyrmdz Publishing LLC -- BMI/Songs Of Kobalt Music Publishing America  Inc. -- BMI),HL,2019-01-05,01,05,2019,DES  49
96,DRUNK ME,(Sony/ATV Countryside -- BMI/WB Music Corp. -- ASCAP/Freshy Music -- ASCAP/We-Volve Music -- ASCAP/Legends Of Magic Mustang Music -- SESAC/BMG Silver Songs -- SESAC),AMP/HL,2019-01-05,01,05,2019,CS   7 ; H100  64
97,EASTSIDE,(Polk St. Pub -- BMI/Songs Of Univer-sal  Inc. -- BMI/Thegreatkhalid -- ASCAP/Right Hand Music Group -- ASCAP/All That Noise -- ASCAP/Sony/ATV Tunes LLC -- ASCAP/17Black Music -- BMI/Ed Sheeran Limited -- PRS/Sony/ATV Music Publishing UK Ltd -- PRS/Please Don’t Forget To Pay Me Music -- GMR/Universal Music Works -- GMR),HL,2019-01-05,01,05,2019,H100  21
98,ELECTRICITY,(Songs Of Zelig -- BMI/The Bicycle Music Company  Inc. -- BMI/I Like Turtles Music -- ASCAP/KMR Music Royalties II SCSp -- ASCAP/Kobalt Songs Music Publishing LLC -- ASCAP/Mad Decent Publishing -- ASCAP/Prescription Songs -- LLC. -- ASCAP/12th And Spring Garden -- ASACP/Warner-Tamerlane Publishing Corp. -- BMI/Legend Of Music -- BMI/Universal Music Publishing Ltd. (UK) -- PRS/Tap Music Publishing -- PRS/Universal Music Corp. -- ASCAP/Spirit Nash-ville Three -- SESAC),HL,2019-01-05,01,05,2019,DES   6
99,ELLA QUIERE BEBER,(Gazmey Music Publish-ing -- ASCAP/WB Music Corp. -- ASCAP/Warner-Tamerlane Publishing Corp. -- BMI/Nino Karlo Segarra Publishing Designee -- ASCAP/Jedy Squat Music -- ASCAP/Wichitou Music -- ASCAP/Musica de Gaby Publishing -- BMI),AMP,2019-01-05,01,05,2019,H100  92 ; LT   5
100,EN MENOS DE UN MINUTO,(BMG Platinum Songs -- BMI/BMG Gold Songs -- ASCAP/DEL Melodies -- BMI/DEL World Songs -- ASCAP),,2019-01-05,01,05,2019,LT  50
101,ENVY ME,(Not Listed),,2019-01-05,01,05,2019,H100  98 ; RBH  40
